G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,name,l,b,RA,Dec,size,type_y,flux,s,normalized_name
G263.9-03.3,,,"Vela, contains NGC 2736 = Pencil Nebula",,plerionic composite,,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)","eje,PSR,PWN",,,9000.0,27000.0,0.25,0.3,255.0,,255',1.5',08:34:00,-45:50:00,Green J coord,G263.9-3.3,263.9,-3.3,08 34 00,-45 50,255,C,1750,varies,G263.9-03.3
G291.0-00.1,,,(MSH 11-62),,plerionic composite,,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,"eje,PSR?,PWN",,,1300.0,10000.0,3.0,10.0,14.0,,15'x13',,11:11:54,-60:38:00,Green J coord,G291.0-0.1,291.0,-0.1,11 11 54,-60 38,15x13,C,16,0.29,G291.0-00.1
G292.0+01.8,,,MSH 11-54,,plerionic composite,,contains PSR J1124-5916 + PWN G292.04+1.75,"eje,PSR,PWN",,,2930.0,3050.0,6.0,6.2,9.8,,12'x8',,11:24:36,-59:16:00,Green J coord,G292.0+1.8,292.0,1.8,11 24 36,-59 16,12x8,C,15,0.4,G292.0+01.8
G293.8+00.6,,,,,plerionic composite,1.0,contains PWN G293.79+0.58? and PSR J1135-6055 (related?),"eje,PSR?,PWN?",,,,,,,20.0,,20',,11:35:00,-60:54:00,Green J coord,G293.8+0.6,293.8,0.6,11 35 00,-60 54,20,C,5?,0.6?,G293.8+00.6
G308.8-00.1,,,,G308.7+0.0,plerionic composite,1.0,contains PSR J1341-6220 = B1338-62 + PWN,"eje?,PSR,PWN",,,,,3.32,4.52,25.0,,30'x20',,13:42:30,-62:23:00,Green J coord,G308.8-0.1,308.8,-0.1,13 42 30,-62 23,30x20?,C?,15?,0.4?,G308.8-00.1
G310.6-01.6,,,,,plerionic composite,,contains PSR J1400-6325 + PWN,"eje,PSR,PWN",,,700.0,2000.0,5.0,10.0,2.5,,2.5',,14:00:45,-63:26:00,Green J coord,G310.6-1.6,310.6,-1.6,14 00 45,-63 26,2.5,C?,?,?,G310.6-01.6
G318.9+00.4,1.0,,,,plerionic composite,1.0,contains PWN?,"eje?,PWN?",,,,,3.08,3.72,21.0,1.0,30'x14',,14:58:30,-58:29:00,Green J coord,G318.9+0.4,318.9,0.4,14 58 30,-58 29,30x14,C,4?,0.2?,G318.9+00.4
G320.4-01.2,,,"RCW 89, MSH 15-52, Jellyfish",,plerionic composite,,"overlaps SNR G320.6-01.6, contains PSR J1513-5908 = B1509-58 = the Dragon + PWN = the Jellyfish","eje,PSR,PWN",185.0,suggested,1900.0,1900.0,3.8,6.6,35.0,,35',1.6',15:14:30,-59:08:00,Green J coord,G320.4-1.2,320.4,-1.2,15 14 30,-59 08,35,C,60?,0.4,G320.4-01.2
G322.5-00.1,,,,,plerionic composite,1.0,"contains PWN?, contains planetary nebula Pe 2-8","eje,PWN?",,,,,,,15.0,,15',,15:23:23,-57:06:00,Green J coord,G322.5-0.1,322.5,-0.1,15 23 23,-57 06,15,C,1.5,0.4,G322.5-00.1
G326.3-01.8,,,"MSH 15-56, Kes 25",G326.2-1.7,plerionic composite,,contains PWN G326.12-1.81,"eje,PWN",,,9800.0,16500.0,3.4,5.8,38.0,,38',,15:53:00,-56:10:00,Green J coord,G326.3-1.8,326.3,-1.8,15 53 00,-56 10,38,C,145,varies,G326.3-01.8
G327.1-01.1,,,,,plerionic composite,,contains PWN G327.15-1.04 = the Snail,"eje,PWN",,,17000.0,17000.0,4.52,9.0,18.0,,18',,15:54:25,-55:09:00,Green J coord,G327.1-1.1,327.1,-1.1,15 54 25,-55 09,18,C,7?,?,G327.1-01.1
G338.3-00.0,,,,,plerionic composite,,"contains PSR J1640-4631 and PWN G338.3-0.0, connected to SNR G338.5+00.1 by HII region G338.45+0.06","eje,PSR,PWN",,,1000.0,8000.0,8.0,13.0,8.0,,8',,16:41:00,-46:34:00,Green J coord,G338.3-0.0,338.3,-0.0,16 41 00,-46 34,8,C?,7?,?,G338.3-00.0
G341.2+00.9,,,,,plerionic composite,,contains PSR J1646-4346 = B1643-43 + PWN,"eje,PSR,PWN",,,,,3.87,4.73,19.0,,22'x16',,16:47:35,-43:47:00,Green J coord,G341.2+0.9,341.2,0.9,16 47 35,-43 47,22x16,C,1.5?,0.6?,G341.2+00.9
G343.1-02.3,,,,,plerionic composite,1.0,PSR J1709-4429 = B1706-44 + PWN G343.10-2.69 near the edge,"eje?,PSR?,PWN?",,,,,,,32.0,,32',,17:08:00,-44:16:00,Green J coord,G343.1-2.3,343.1,-2.3,17 08 00,-44 16,32?,C?,8?,0.5?,G343.1-02.3
G351.2+00.1,,,,G351.3+0.2,plerionic composite,1.0,,eje,,,,,,,7.0,,7',,17:22:27,-36:11:00,Green J coord,G351.2+0.1,351.2,0.1,17 22 27,-36 11,7,C?,5?,0.4,G351.2+00.1
G354.1+00.1,1.0,,,,plerionic composite,1.0,PSR J1730-3350 = B1727-33 at the edge,"eje?,PSR?",,,,,,,6.7,1.0,15'x3',,17:30:28,-33:46:00,Green J coord,G354.1+0.1,354.1,0.1,17 30 28,-33 46,15x3?,C?,?,varies,G354.1+00.1
