name,l,b,RA,Dec,size,type,flux,s
G28.6-0.1,28.6,-0.1,18 43 55,-03 53,13x9,S,3?,?
G28.7-0.4,28.7,-0.4,18 45 30,-03 54,9,S,0.9?,0.8?
G28.8+1.5,28.8,+1.5,18 39 00,-02 55,100?,S?,?,0.4?
G29.6+0.1,29.6,+0.1,18 44 52,-02 57,5,S,1.5?,0.5?
G29.7-0.3,29.7,-0.3,18 46 25,-02 59,3,C,10,0.63
G30.7-2.0,30.7,-2.0,18 54 25,-02 54,16,?,0.5?,0.7?
G30.7+1.0,30.7,+1.0,18 44 00,-01 32,24x18,S?,6,0.4
G31.5-0.6,31.5,-0.6,18 51 10,-01 31,18?,S?,2?,?
G31.9+0.0,31.9,+0.0,18 49 25,-00 55,7x5,S,25,varies
G32.0-4.9,32.0,-4.9,19 06 00,-03 00,60?,S?,22?,0.5?
G32.1-0.9,32.1,-0.9,18 53 10,-01 08,40?,C?,?,?
G32.4+0.1,32.4,+0.1,18 50 05,-00 25,6,S,0.25?,?
G32.8-0.1,32.8,-0.1,18 51 25,-00 08,22x15,S?,11?,0.2?
G33.2-0.6,33.2,-0.6,18 53 50,-00 02,18,S,3.5,varies
G33.6+0.1,33.6,+0.1,18 52 48,+00 41,10,S,20,0.51
G34.7-0.4,34.7,-0.4,18 56 00,+01 22,35x27,C,240,0.37
G35.6-0.4,35.6,-0.4,18 57 55,+02 13,15x11,S?,9,0.5
G36.6-0.7,36.6,-0.7,19 00 35,+02 56,25?,S?,1.0,0.7?
G36.6+2.6,36.6,+2.6,18 48 49,+04 26,17x13?,S,0.7?,0.5?
G38.7-1.3,38.7,-1.3,19 06 40,+04 28,32x19?,S,?,?
G39.2-0.3,39.2,-0.3,19 04 08,+05 28,8x6,C,18,0.34
G39.7-2.0,39.7,-2.0,19 12 20,+04 55,120x60,?,85?,0.7?
G40.5-0.5,40.5,-0.5,19 07 10,+06 31,22,S,11,0.4
G41.1-0.3,41.1,-0.3,19 07 34,+07 08,4.5x2.5,S,25,0.50
