G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context_x,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,source_from_x,normalized_name,l,b,RA,Dec,size,type_y,flux,s,other name(s),name,source_from_y,context_y,pulsar-CCO,uncertain-pulsar,type_uncertain_green,SNR_id,Xray,gamma_TeV,gamma_GeV,source_flag,info,radio
G016.7+00.1,,,,G16.73+0.08,plerionic composite,,"contains PWN G16.73+0.08, and PSR?","eje,PSR?,PWN",,,2100.0,2100.0,13.9,14.1,4.0,,4',,18:20:56,-14:20:00,Green J coord,snrcat,G016.7+00.1,16.7,0.1,18 20 56,-14 20,4,C,3,0.6,,G16.7+0.1,green,"contains PWN G16.73+0.08, and PSR?",,1,0,G016.7+00.1,|pwn|||pwn,||||,||||,|pwn|||pwn,X|pwnX|gamma_GeV|gamma_TeV|pwnX,yes
G018.9-01.1,,,,"G18.95-1.1,G18.94-1.04",plerionic composite,,contains PWN and PSR candidate CXOU J182913.1-125113,"eje,PSR,PWN?",,,2800.0,6100.0,1.6,4.7,33.0,,33',7.7',18:29:50,-12:58:00,Green J coord,snrcat,G018.9-01.1,18.9,-1.1,18 29 50,-12 58,33,C?,37,0.39,,G18.9-1.1,green,contains PWN and PSR candidate CXOU J182913.1-125113,CCO,1,1,G018.9-01.1,shell & pwn|shell & pwn|||shell,||||,||shell||,shell & pwn|shell & pwn|shell||shell,shell & pwnX|shell & pwnX|shellgamma_GeV|gamma_TeV|shellX,yes
G021.5-00.9,,,,,plerionic composite,,contains PSR J1833-1034 + PWN G21.50-0.89,"eje,PSR,PWN",,,1550.0,1800.0,4.2,4.6,5.0,,5',1.3',18:33:34,-10:34:07,NS J coord,snrcat,G021.5-00.9,21.5,-0.9,18 33 33,-10 35,5,C,7,varies,,G21.5-0.9,green,contains PSR J1833-1034 + PWN G21.50-0.89,PSR J1833-1034,,0,G021.5-00.9,|shell & pwn|pwn|pwn||pwn||pwn|shell & pwn||pwn|||shell & pwn||pwn,||||||shell & pwn|||||||||,|||||||||||||||,|shell & pwn|pwn|pwn||pwn|shell & pwn|pwn|shell & pwn||pwn|||shell & pwn||pwn,X|shell & pwnX|pwnX|pwnX|gamma_GeV|pwnX|shell & pwngamma_TeV|pwnX|shell & pwnX|X|pwnX|X|X|shell & pwnX|X|pwnX,yes
G024.7+00.6,,,,,plerionic composite,1.0,"contains PWN?, adjacent to HII regions","eje?,PWN?",,,9500.0,9500.0,2.73,3.7,21.0,1.0,30'x15',,18:34:10,-07:05:00,Green J coord,snrcat,G024.7+00.6,24.7,0.6,18 34 10,-07 05,30x15,C?,20?,0.2?,,G24.7+0.6,green,"contains PWN?, adjacent to HII regions",,,1,G024.7+00.6,shell|||,|||,|shell||,shell|shell||,shellX|shellgamma_GeV|gamma_TeV|gamma_TeV,yes
G025.2+00.3,1.0,,G25.25+0.28,G025.5+00.0,plerionic composite,,"contains PSR J1838-0655 + PWN G25.24-0.19 = AX J1838.0-0655, PWN candidate G25.21-0.02 = AX J1837.3-0652, adjacent to massive star cluster","eje?,PSR,PWN",,,,,,,1.6,1.0,,1.3' and 2',18:36:24,-06:42:00,paper J coord,snrcat,G025.2+00.3,,,,,,,,,,,,"contains PSR J1838-0655 + PWN G25.24-0.19 = AX J1838.0-0655, PWN candidate G25.21-0.02 = AX J1837.3-0652, adjacent to massive star cluster",PSR J1838-0655,,0,G025.2+00.3,|shell & pwn|pwn||||shell & pwn|||shell & pwn,|||||pwn||||,|||pwn||||||,|shell & pwn|pwn|pwn||pwn|shell & pwn|||shell & pwn,gamma_GeV|shell & pwnX|pwnX|pwngamma_GeV|gamma_TeV|pwngamma_TeV|shell & pwnX|X|X|shell & pwnX,yes
G029.4+00.1,1.0,simplified,G29.3667+0.1000,,plerionic composite,1.0,"PWN in complex radio source G29.37+0.1, close to radio galaxy PMN J1844-0306","eje?,PWN",,,,,5.2,15.8,9.0,,9',,18:44:34,-03:07:40,paper G name,snrcat,G029.4+00.1,,,,,,,,,,,,"PWN in complex radio source G29.37+0.1, close to radio galaxy PMN J1844-0306",,,0,G029.4+00.1,|pwn|pwn||||pwn,|||||shell & pwn|,|||shell|||,|pwn|pwn|shell||shell & pwn|pwn,gamma_TeV|pwnX|pwnX|shellgamma_GeV|gamma_TeV|shell & pwngamma_TeV|pwnX,yes
G029.7-00.3,,,Kes 75,,plerionic composite,,contains high-B PSR J1846-0258 (magnetar?) + PWN,"eje,PSR,PWN",,,1690.0,1850.0,5.3,5.9,3.0,,3',"38""",18:46:25,-02:59:00,Green J coord,snrcat,G029.7-00.3,29.7,-0.3,18 46 25,-02 59,3,C,9,0.7,Kes 75,G29.7-0.3,green,contains high-B PSR J1846-0258 (magnetar?) + PWN,PSR J1846-0258,,0,G029.7-00.3,shell & pwn||shell & pwn|shell & pwn||||shell & pwn|pwn|||shell & pwn,||||||shell & pwn|||||,||||pwn|||||||,shell & pwn||shell & pwn|shell & pwn|pwn||shell & pwn|shell & pwn|pwn|||shell & pwn,shell & pwnX|X|shell & pwnX|shell & pwnX|pwngamma_GeV|gamma_TeV|shell & pwngamma_TeV|shell & pwnX|pwnX|X|X|shell & pwnX,yes
G034.7-00.4,,,"W44, 3C392",G34.6-0.5,thermal & plerionic composite,,"inside W48 complex, contains PSR B1853+01 = J1856+0113 + PWN G34.56-0.50","eje,PSR,PWN",,,7900.0,8900.0,2.1,3.3,31.0,,35'x27',,18:56:00,01:22:00,Green J coord,snrcat,G034.7-00.4,34.7,-0.4,18 56 00,+01 22,35x27,C,240,0.37,"W44, 3C392",G34.7-0.4,green,"inside W48 complex, contains PSR B1853+01 = J1856+0113 + PWN G34.56-0.50",PSR B1853+01,,0,G034.7-00.4,|pwn|pwn||shell|shell||shell||||shell||||shell,|||||||||||||||,shell||||||shell|||||||||,shell|pwn|pwn||shell|shell|shell|shell||||shell||||shell,shellgamma_GeV|pwnX|pwnX|gamma_GeV|shellX|shellX|shellgamma_GeV|shellX|gamma_TeV|X|X|shellX|gamma_TeV|gamma_TeV|gamma_TeV|shellX,yes
G039.2-00.3,,,"3C396, HC24, NRAO 593",,plerionic composite,,contains PWN G39.22-0.32,"eje,PWN",,,4700.0,5200.0,6.2,9.5,7.0,,8'x6',,19:04:08,05:28:00,Green J coord,snrcat,G039.2-00.3,39.2,-0.3,19 04 08,+05 28,8x6,C,18,0.34,"3C396, HC24, NRAO 593",G39.2-0.3,green,contains PWN G39.22-0.32,,,0,G039.2-00.3,pwn|shell & pwn||shell||||shell,|||||||,||||shell|||,pwn|shell & pwn||shell|shell|||shell,pwnX|shell & pwnX|gamma_GeV|shellX|shellgamma_GeV|gamma_TeV|gamma_TeV|shellX,yes
G054.1+00.3,,,,,plerionic composite,1.0,contains PSR J1930+1852 + PWN G54.10+0.27,"eje?,PSR,PWN",,,1500.0,2400.0,4.1,7.2,12.0,1.0,~12',2'x1.3',19:30:31,18:52:00,Green J coord,snrcat,G054.1+00.3,54.1,0.3,19 30 31,+18 52,12?,C?,0.5,0.1,,G54.1+0.3,green,contains PSR J1930+1852 + PWN G54.10+0.27,PSR J1930+1852,,1,G054.1+00.3,|pwn|pwn||||||||shell||shell,||||shell|shell & pwn||shell||||pwn|,|||pwn|||||||||,|pwn|pwn|pwn|shell|shell & pwn||shell|||shell|pwn|shell,X|pwnX|pwnX|pwngamma_GeV|shellgamma_TeV|shell & pwngamma_TeV|X|shellgamma_TeV|X|X|shellX|pwngamma_TeV|shellX,yes
