P1,P0,P0_ERR,P1_ERR,PSRJ
6.210914845199389e-16,1.261959693492563,3.185084535999687e-11,3.1850845359996876e-17,J0110-2223
8.364758814356194e-15,4.301872100793386,3.701220714316899e-10,1.6655493214426048e-16,J0111+6624
7.092e-15,0.68854151164,5e-11,4e-18,J0111-7131
4.859e-15,0.32588301613,1e-11,1.5e-18,J0113-7220
1.599e-15,0.521455427473,5e-12,3e-18,J0115+6325
5.849954549965026e-15,0.10143906648239018,1.955077999675567e-12,1.6463814735654305e-20,J0117+5914
1.3627349466198148e-17,1.3133852995554554,3.4499618901767466e-12,3.4499618901767466e-19,J0120+1837
3.803e-15,1.388994,,1e-18,J0122+1416
1.8415975223135673e-20,0.003675374887568884,1.3508380564171988e-17,1.3508380564171988e-24,J0125-2327
1.7614e-15,0.348124045581,7e-12,7e-19,J0131-7310
1.2e-16,0.463473741703,3e-12,2e-19,J0133-6957
7.836990207406537e-17,0.13696161051365074,1.3130937928145076e-14,2.6261875856290195e-22,J0134-2937
1.223e-17,0.414763,,3e-20,J0137+1654
9.598060284376671e-16,0.717962726847017,5.154704771416043e-12,4.639234294274439e-18,J0137+6349
2.064e-15,1.2479609557,1e-10,8e-18,J0139+3336
7.909588303523702e-14,1.7753438259574654,9.455537101095874e-11,2.521476560306309e-18,J0139+5621
1.0711673241378302e-14,0.272450630948639,1.48458692608623e-11,1.1134401946258672e-19,J0139+5814
3.9107029437943967e-16,1.222948520545672,1.7947237006858175e-12,1.346042775514368e-20,J0141+6009
1.6462272607059229e-18,0.046680275307708005,2.6148577233640965e-14,2.6148577233640967e-22,J0141+6303
1.9931635102667597e-12,8.688994062210817,3.7749308906567423e-07,4.529917068821196e-14,J0146+6145
2.5676349907858607e-16,0.19632137543003358,1.5416832980296077e-13,7.708416490148048e-21,J0147+5922
4.425913626891812e-16,1.464664549333674,6.435726726224444e-12,4.0759602599421657e-20,J0151-0635
1.7e-15,2.746647,,4e-18,J0152+0948
1.2992016095116276e-15,0.8327416126877758,1.2482254683033076e-12,5.5476687480160676e-21,J0152-1637
2.918601298491007e-21,0.0023645697763005993,4.472952181595412e-16,1.1182380453988532e-23,J0154+1833
1.516169353990392e-16,1.8115606113139169,9.845255545392157e-11,9.845255545392157e-19,J0156+3949
1.889253727050131e-13,2.3517449364580285,6.083774670771575e-11,4.977633822500119e-19,J0157+6212
5.514413000143725e-15,1.3491844718464827,9.101493695358362e-12,1.4562389912573398e-18,J0201+7005
1.4280875061399105e-20,0.005173321864195967,3.746856275479525e-16,1.0705303644227215e-23,J0203-0150
1.9375425617995258e-13,0.06571592849324429,8.637166515458392e-14,3.886724965325799e-21,J0205+6449
1.1965618242943554e-15,0.6305512595685335,3.578354018491177e-12,2.783164236604252e-19,J0206-4028
5.716605717229766e-17,0.8638826162003009,2.9851726982923057e-12,5.224052222011535e-19,J0209+4331
1.3919045409298774e-14,1.0639062825258458,1.3582758935975579e-11,1.3582758935976042e-18,J0209+5759
1.5167869032541243e-13,1.7662189324423,1.871717590390571e-11,1.871717590393332e-18,J0210+5845
1.1071100596356502e-18,0.3507309921412785,3.6903668654521675e-13,1.2301222884840559e-19,J0211+4235
2.9e-16,1.0773327013,8e-10,2e-17,J0211-8159
6.599259655548951e-15,0.3763863640605848,1.4166669505074708e-12,1.2750002554567246e-18,J0212+5222
2.959572643067371e-19,0.024575294816348767,2.4157804612418342e-15,4.2276158071732104e-23,J0214+5222
6.621170802410834e-16,0.5488798191549455,2.7114215028800917e-12,2.7114215028801705e-20,J0215+6218
